"","success","clamp","stl_mean","stl_se"
"1","Hit",1.75,0.433187030349509,0.0895911375117705
"2","Hit",3.5,0.746595486272525,0.085428564685661
"3","Hit",5.25,1.06977784867074,0.081219548440363
"4","Hit",7,1.24944573312396,0.106944700041163
"5","Hit",8.75,1.46979201072519,0.104701272716073
"6","Hit",10.5,1.47222682551956,0.122236867577549
"7","Jump To",1.75,0.375337090592546,0.10025396114969
"8","Jump To",3.5,0.522109771404975,0.128803093854555
"9","Jump To",5.25,0.771179999797034,0.115180261020793
"10","Jump To",7,1.01254212264108,0.102618853626639
"11","Jump To",8.75,1.10068292088824,0.105653707063295
"12","Jump To",10.5,1.17010076904362,0.144017450882623
"13","Miss",1.75,0.628378108183265,0.0783806615442331
"14","Miss",3.5,1.04988952492451,0.121659206039171
"15","Miss",5.25,1.43365890077221,0.0964245872276294
"16","Miss",7,1.46255346386934,0.103417817770204
"17","Miss",8.75,1.54923605002634,0.100242517268402
"18","Miss",10.5,1.69531202286995,0.107827264809992
